Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
ABCA2	Q9BZC7	ATP-binding cassette sub-family A member 2	269.9	2435	195	6	Endosome	Very High	89.4		0%	100%	Mostly Organellar	3,224	7.9	2.0	2.7
AGTRAP	Q6RW13	Type-1 angiotensin II receptor-associated protein	17.4	159	215	6	Endosome	Very High	97.6		34%	66%	Organellar and Cytosolic	102,930	53.9	63.7	5.6
ANKFY1	Q9P2R3	Rabankyrin-5	128.4	1169	1283	6	Endosome	Very High	92		87%	13%	Mostly Cytosolic	219,204	65.5	135.6	87.5
ANKRD27	Q96NW4	Ankyrin repeat domain-containing protein 27	117.0	1050	317	6	Endosome	Very High	92.2		54%	46%	Organellar and Cytosolic	15,984	24.6	9.9	5.8
AP3B1	O00203	AP-3 complex subunit beta-1	121.3	1094	2268	6	Endosome	Very High	59.8		67%	33%	Organellar and Cytosolic	373,246	73.8	230.9	140.8
AP3D1	O14617-5	AP-3 complex subunit delta-1	136.7	1215	2919	6	Endosome	Very High	77		70%	30%	Organellar and Cytosolic	354,394	73.0	219.2	150.6
AP3M1	Q9Y2T2	AP-3 complex subunit mu-1	46.9	418	1228	6	Endosome	Very High	53.8		68%	32%	Organellar and Cytosolic	376,271	74.0	232.8	54.9
AP3S1	Q92572	AP-3 complex subunit sigma-1	21.7	193	327	6	Endosome	Very High	71.4		64%	36%	Organellar and Cytosolic	245,936	67.5	152.1	16.6
ARL8A	Q96BM9	ADP-ribosylation factor-like protein 8A	21.4	186	1098	6	Endosome	Very High	79.8		15%	85%	Mostly Organellar	694,717	81.9	429.8	46.3
ATP6V0A1	Q93050-3	V-type proton ATPase 116 kDa subunit a isoform 1	96.6	838	1832	6	Endosome	Very High	82.6		6%	94%	Mostly Organellar	180,932	62.6	111.9	54.3
ATP6V0A4	Q9HBG4	V-type proton ATPase 116 kDa subunit a isoform 4	96.4	840	265	6	Endosome	Very High	93.4		0%	100%	Mostly Organellar	8,139	16.4	5.0	2.4
ATP6V0D1	P61421	V-type proton ATPase subunit d 1	40.3	351	634	6	Endosome	Very High	73.7		11%	89%	Mostly Organellar	267,333	68.8	165.4	33.5
ATP6V1A	P38606	V-type proton ATPase catalytic subunit A	68.3	617	1654	6	Endosome	Very High	58.5		83%	17%	Broad distribution	771,467	83.2	477.2	163.8
ATP6V1B2	P21281	V-type proton ATPase subunit B, brain isoform	56.5	511	1221	6	Endosome	Very High	97.3		77%	23%	Organellar and Cytosolic	388,694	74.3	240.5	68.3
ATP6V1D	Q9Y5K8	V-type proton ATPase subunit D	28.3	247	201	5	Endosome	Very High	54.6		78%	22%	Organellar and Cytosolic	124,563	56.6	77.1	10.9
ATP6V1E1	P36543	V-type proton ATPase subunit E 1	26.1	226	835	6	Endosome	Very High	78.1		69%	31%	Organellar and Cytosolic	513,667	78.1	317.8	41.8
